35,39,1
44,68,4
75,64,1
134,57,1
151,63,2
196,44,3
209,45,4
270,55,3
272,35,1
300,34,3
302,53,3
308,34,4
353,64,4
369,34,4
377,66,2
379,62,3
569,70,5
585,48,1
607,49,2
614,43,4
660,43,4
704,56,4
721,57,1
761,38,2
816,56,5
820,36,5
865,59,4
922,36,4
936,32,4
946,55,4
964,50,4
968,44,5
979,37,1
1043,42,5
1208,36,2
1223,56,3
1228,46,5
1282,42,5
1288,59,1
1306,56,3
1310,57,2
1314,55,4
1326,70,3
1333,52,3
1357,36,5
1544,46,2
1573,34,3
1574,61,3
1605,65,4
1616,49,3
1743,60,4
1751,44,4
1753,68,5
1764,38,4
1770,31,5
1863,57,3
1908,37,3
1911,69,5
1988,68,1
1998,48,5
2062,50,3
2069,42,5
2085,69,1
2093,33,5
2122,31,1
2130,34,2
2169,30,5
2215,64,3
2217,31,4
2219,51,5
2284,55,4
2288,63,3
2321,44,2
2343,57,3
2416,30,2
2417,34,5
2418,45,5
2428,40,2
2490,69,3
2501,58,2
2571,44,1
2601,46,4
2608,48,4
2662,58,4
2757,32,4
2791,69,5
2866,37,2
2910,34,5
2916,54,4
2949,54,1
2956,61,1
2983,38,5
3014,64,2
3046,39,1
3056,37,2
3059,42,4
3102,42,2
3129,45,2
3188,34,2
3206,43,4
3215,62,2
3226,52,4
3233,44,5
3274,44,3
3279,64,1
3322,69,3
3326,37,3
3385,52,3
3408,53,3
3422,36,1
3440,50,3
3464,59,5
3468,57,5
3585,60,4
3588,39,5
3616,40,5
3665,36,5
3696,57,4
3719,46,2
3798,60,3
3880,39,5
3896,47,3
3904,69,2
3955,70,3
3980,40,2
4009,37,1
4020,40,3
4038,36,4
4052,63,2
4064,57,2
4082,45,5
4119,30,5
4186,64,1
4242,60,1
4327,58,3
4328,52,1
4359,70,3
4395,50,1
4404,31,3
4454,70,5
4482,47,3
4504,45,3
4576,60,1
4598,66,2
4652,60,2
4655,38,4
4667,42,2
4697,39,4
4714,59,5
4750,65,1
4773,54,5
4797,36,5
4812,56,1
4847,56,4
4848,62,2
4882,67,2
4890,38,3
4899,35,4
4944,59,4
4976,59,4
4982,62,1
5005,37,4
5031,43,2
5064,51,5
5097,60,1
5110,44,2
5114,34,2
5143,65,3
5148,59,5
5158,61,2
5165,66,5
5182,55,2
5246,65,3
5249,68,5
5251,60,4
5258,38,3
5269,58,4
5302,40,2
5312,63,4
5351,54,4
5426,59,2
5460,65,2
5462,32,3
5562,70,1
5709,36,2
5751,47,3
5754,39,5
5768,37,1
5773,70,4
5787,58,2
5882,42,1
5932,66,4
5996,50,4
6036,70,4
6063,44,4
6065,31,3
6092,45,4
6108,55,2
6124,35,5
6139,37,4
6145,56,5
6152,51,4
6168,65,3
6200,60,1
6250,32,4
6262,56,2
6304,53,2
6426,49,4
6444,46,3
6459,60,3
6512,38,2
6537,58,4
6582,41,1
6590,45,4
6603,65,2
6621,65,2
6705,37,4
6735,30,1
6736,31,3
6754,31,3
6762,68,1
6763,65,3
6795,70,5
6803,53,5
6827,55,4
6941,45,3
6974,63,1
6997,39,1
7040,49,1
7077,46,3
7086,40,3
7112,36,1
7158,62,2
7175,52,2
7185,65,5
7219,40,5
7330,38,3
7333,55,2
7335,37,1
7363,68,3
7384,34,1
7390,32,3
7431,63,5
7493,68,4
7587,63,5
7681,57,2
7719,61,4
7810,59,4
7824,64,4
7870,54,5
7918,41,5
7925,37,1
7943,61,2
7944,62,2
7970,44,3
7979,47,1
8029,37,5
8050,52,5
8056,30,2
8150,47,3
8155,53,4
8163,50,2
8169,45,2
8172,68,2
8214,55,3
8215,51,1
8226,40,4
8232,32,2
8258,56,4
8345,65,1
8381,63,2
8390,51,4
8419,54,3
8453,49,3
8641,49,2
8698,59,3
8720,48,2
8739,64,5
8755,38,3
8774,54,1
8775,62,5
8840,58,4
8858,40,3
8861,64,1
8862,41,5
8870,51,5
8904,57,4
8967,33,2
8974,40,1
9006,34,4
9038,32,4
9066,39,5
9094,54,4
9155,38,1
9168,54,1
9171,56,2
9174,57,4
9194,31,5
9201,70,2
9231,70,1
9257,57,1
9262,30,5
9266,45,2
9281,40,1
9309,69,3
9316,45,2
9329,47,5
9375,44,3
9412,67,4
9500,47,2
9556,66,2
9597,39,3
9640,58,3
9643,62,1
9664,70,2
9744,39,5
9784,36,4
9790,33,5
10006,40,5
10089,34,4
10123,45,3
10166,50,3
10295,60,3
10335,56,3
10339,34,4
10384,43,2
10445,67,2
10462,63,4
10508,41,2
10520,56,3
10550,61,3
10577,31,4
10592,34,5
10669,49,1
10710,67,3
10720,67,3
10722,58,4
10750,62,2
10803,65,4
10810,37,2
10819,41,5
10839,39,5
10947,40,4
10985,54,3
11059,45,5
11110,34,2
11118,42,5
11139,40,3
11193,54,2
11203,30,4
